Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MSAA,instance_007.txt,4,NHV,0.8036158900309087
MSAA,instance_007.txt,5,NHV,0.8664244521295323
MSAA,instance_007.txt,6,NHV,0.7561862374835573
MSAA,instance_007.txt,7,NHV,0.7690360357084871
MSAA,instance_007.txt,8,NHV,0.7725658361242862
MSAA,instance_007.txt,9,NHV,0.8484948240391763
MSAA,instance_008.txt,0,Time,228.63489055633545
MSAA,instance_008.txt,1,Time,238.70592641830444
MSAA,instance_008.txt,2,Time,230.74193453788757
MSAA,instance_008.txt,3,Time,236.1845827102661
MSAA,instance_008.txt,4,Time,242.28448009490967
MSAA,instance_008.txt,5,Time,238.51985144615173
MSAA,instance_008.txt,6,Time,228.84371399879456
MSAA,instance_008.txt,7,Time,232.5984752178192
MSAA,instance_008.txt,8,Time,229.9259581565857
MSAA,instance_008.txt,9,Time,238.96246242523193
MSAA,instance_008.txt,0,GD,4.934495786051878
MSAA,instance_008.txt,1,GD,3.558515559371209
MSAA,instance_008.txt,2,GD,4.804423280136058
MSAA,instance_008.txt,3,GD,4.4704170957489096
MSAA,instance_008.txt,4,GD,4.590617593622567
MSAA,instance_008.txt,5,GD,5.4214642983540715
MSAA,instance_008.txt,6,GD,4.354471473654696
MSAA,instance_008.txt,7,GD,3.2710087069250573
MSAA,instance_008.txt,8,GD,4.284669481028764
MSAA,instance_008.txt,9,GD,4.139436490472191
MSAA,instance_008.txt,0,IGD,2.5511681702631126
MSAA,instance_008.txt,1,IGD,2.4820187541303786
MSAA,instance_008.txt,2,IGD,2.314791471383315
MSAA,instance_008.txt,3,IGD,2.7613742392639082
MSAA,instance_008.txt,4,IGD,2.0741742682637283
MSAA,instance_008.txt,5,IGD,2.929028765145564
MSAA,instance_008.txt,6,IGD,2.5166097206514944
MSAA,instance_008.txt,7,IGD,2.803628761213325
MSAA,instance_008.txt,8,IGD,2.4899809176330594
MSAA,instance_008.txt,9,IGD,2.454603428643727
MSAA,instance_008.txt,0,EPSILON,1.8297872340425532
MSAA,instance_008.txt,1,EPSILON,1.935274930309033
MSAA,instance_008.txt,2,EPSILON,1.7755102040816326
MSAA,instance_008.txt,3,EPSILON,1.8772880226128044
MSAA,instance_008.txt,4,EPSILON,1.619047619047619
MSAA,instance_008.txt,5,EPSILON,2.347660457352266
MSAA,instance_008.txt,6,EPSILON,1.8445826199273083
MSAA,instance_008.txt,7,EPSILON,2.0603713088679627
MSAA,instance_008.txt,8,EPSILON,1.9420278220344918
MSAA,instance_008.txt,9,EPSILON,1.816326530612245
MSAA,instance_008.txt,0,HV,27186.40341460819
MSAA,instance_008.txt,1,HV,26928.526983243195
MSAA,instance_008.txt,2,HV,25400.09662352035
MSAA,instance_008.txt,3,HV,26705.580814188055
MSAA,instance_008.txt,4,HV,37213.46806269071
MSAA,instance_008.txt,5,HV,24649.957117233538
